round,set,id,trial,donor_ratio,concentration,annealing_t,spinspeed,sol_add_v_perc,date,channel,pce,jsc,voc,ff,status,filter_trial,distance,distance_log,design
1,25,na,B,1.5,22,110,2500,0.5,20211116,D,3.33,9.48,0.79,0.426,ACCEPT,REJECT,,,sdoe
2,53,na,A,0.859,20.5,68.9,1110,2.97,20240716,d,3.329,16.242,0.54,0.374,reject,accept,,,sobol32
1,17,na,A,1.2,12,130,2500,0,20210928,C,3.32,5.69,0.74,0.756,ACCEPT,REJECT,,,sdoe
1,20,na,D,1.2,22,90,800,2,20220517,B,3.3,9.11,0.75,0.459,ACCEPT,REJECT,,,sdoe
1,14,na,B,1,20,55,2500,5,20211006,A,3.25,6.65,0.79,0.698,REJECT,ACCEPT,,,sdoe
2,30,na,A,0.812,12,98.1,5320,1.88,20240703,d,3.237,16.943,0.43,0.434,reject,accept,,,sobol32
1,6,na,B,0.8,8,70,2500,2,20210929,D,3.22,5.57,0.78,0.706,REJECT,REJECT,,,sdoe
1,25,na,B,1.5,22,110,2500,0.5,20211116,E,3.2,9.07,0.78,0.434,ACCEPT,REJECT,,,sdoe
2,32,na,A,1.19,8,119,3980,3.12,20240709,e,3.132,14.703,0.61,0.341,reject,accept,,,sobol32
2,26,na,C,0.25,6,45,600,0,20240703,f,3.091,12.303,0.48,0.511,reject,accept,,,sobol32
2,39,na,A,1.47,17,114,938,2.19,20240709,d,2.878,18.359,0.48,0.319,reject,accept,,,sobol32
1,22,na,B,1.5,12,55,6000,2,20211116,A,2.85,5.27,0.79,0.657,ACCEPT,REJECT,,,sdoe
1,1,na,B,0.5,8,55,800,0,20210929,F,2.75,4.62,0.83,0.683,REJECT,ACCEPT,,,sdoe
1,21,na,A,1.5,8,130,4500,1,20210928,B,2.74,5.85,0.85,0.528,ACCEPT,REJECT,,,sdoe
1,21,na,A,1.5,8,130,4500,1,20210928,C,2.66,5.8,0.84,0.524,ACCEPT,REJECT,,,sdoe
1,25,na,D,1.5,22,110,2500,0.5,20220517,A,2.65,7.51,0.81,0.413,ACCEPT,REJECT,,,sdoe
1,21,na,A,1.5,8,130,4500,1,20210928,F,2.6,4.31,0.84,0.688,REJECT,REJECT,,,sdoe
1,6,na,B,0.8,8,70,2500,2,20210929,E,2.58,4.54,0.77,0.703,REJECT,REJECT,,,sdoe
1,21,na,A,1.5,8,130,4500,1,20210928,A,2.52,5.28,0.85,0.539,ACCEPT,REJECT,,,sdoe
1,25,na,D,1.5,22,110,2500,0.5,20220517,C,2.51,7.11,0.8,0.418,ACCEPT,REJECT,,,sdoe
1,22,na,B,1.5,12,55,6000,2,20211116,D,2.48,6.12,0.77,0.504,ACCEPT,REJECT,,,sdoe
2,39,na,A,1.47,17,114,938,2.19,20240709,a,2.412,15.06,0.5,0.313,reject,accept,,,sobol32
1,25,na,D,1.5,22,110,2500,0.5,20220517,B,2.31,6.51,0.81,0.416,ACCEPT,REJECT,,,sdoe
1,20,na,B,1.2,22,90,800,2,20211006,D,2.14,16.7,0.34,0.362,REJECT,ACCEPT,,,sdoe
1,16,na,A,1.2,8,110,1500,5,20210915,D,1.99,3.22,0.79,0.745,REJECT,ACCEPT,,,sdoe
1,16,na,A,1.2,8,110,1500,5,20210915,E,1.85,3.21,0.78,0.703,REJECT,ACCEPT,,,sdoe
1,14,na,D,1,20,55,2500,5,20220308,B,1.83,3.02,0.77,0.755,REJECT,REJECT,,,sdoe
1,6,na,B,0.8,8,70,2500,2,20210929,F,1.81,3.24,0.77,0.689,REJECT,REJECT,,,sdoe
